"","Bat1","Runs","BF","SR","4s","6s","Opposition","Ground","Start Date","Match_ID","Batsman","Player_ID"
"8632","30*","30","34","88.23","1","1","v West Indies","Dublin (Malahide)","13 May 2019","ODI # 4134","Mahmudullah",56025
"8633","35*","35","29","120.68","2","2","v Ireland","Dublin","15 May 2019","ODI # 4136","Mahmudullah",56025
"8634","19*","19","18","105.55","1","0","v West Indies","Dublin (Malahide)","17 May 2019","ODI # 4137","Mahmudullah",56025
"8635","DNB","-","-","-","-","-","v Zimbabwe","Harare","6 Aug 2006","ODI # 2398","Mushfiqur Rahim ",56029
"8636","DNB","-","-","-","-","-","v Zimbabwe","Dhaka","8 Dec 2006","ODI # 2461","Mushfiqur Rahim ",56029
"8637","18*","18","19","94.73","2","0","v Zimbabwe","Dhaka","9 Dec 2006","ODI # 2462","Mushfiqur Rahim ",56029
"8638","DNB","-","-","-","-","-","v Scotland","Chattogram","15 Dec 2006","ODI # 2465","Mushfiqur Rahim ",56029
"8639","6","6","16","37.50","0","0","v Scotland","Dhaka","17 Dec 2006","ODI # 2467","Mushfiqur Rahim ",56029
"8640","1","1","1","100.00","0","0","v Zimbabwe","Harare","4 Feb 2007","ODI # 2505","Mushfiqur Rahim ",56029
"8641","27","27","70","38.57","1","0","v Zimbabwe","Harare","6 Feb 2007","ODI # 2511","Mushfiqur Rahim ",56029
"8642","42","42","68","61.76","4","0","v Zimbabwe","Harare","9 Feb 2007","ODI # 2516","Mushfiqur Rahim ",56029
"8643","57","57","95","60.00","2","0","v Zimbabwe","Harare","10 Feb 2007","ODI # 2518","Mushfiqur Rahim ",56029
"8644","DNB","-","-","-","-","-","v Bermuda","St John's","25 Feb 2007","ODI # 2528","Mushfiqur Rahim ",56029
"8645","DNB","-","-","-","-","-","v Canada","St John's","28 Feb 2007","ODI # 2530","Mushfiqur Rahim ",56029
"8646","56*","56","107","52.33","3","2","v India","Port of Spain","17 Mar 2007","ODI # 2538","Mushfiqur Rahim ",56029
"8647","6","6","33","18.18","1","0","v Sri Lanka","Port of Spain","21 Mar 2007","ODI # 2546","Mushfiqur Rahim ",56029
"8648","DNB","-","-","-","-","-","v Bermuda","Port of Spain","25 Mar 2007","ODI # 2554","Mushfiqur Rahim ",56029
"8649","2*","2","3","66.66","0","0","v Australia","North Sound","31 Mar 2007","ODI # 2559","Mushfiqur Rahim ",56029
"8650","0","0","5","0.00","0","0","v New Zealand","North Sound","2 Apr 2007","ODI # 2561","Mushfiqur Rahim ",56029
"8651","6","6","13","46.15","0","0","v South Africa","Providence","7 Apr 2007","ODI # 2564","Mushfiqur Rahim ",56029
"8652","7","7","11","63.63","1","0","v England","Bridgetown","11 Apr 2007","ODI # 2568","Mushfiqur Rahim ",56029
"8653","16","16","26","61.53","2","0","v Ireland","Bridgetown","15 Apr 2007","ODI # 2572","Mushfiqur Rahim ",56029
"8654","38*","38","75","50.66","2","0","v West Indies","Bridgetown","19 Apr 2007","ODI # 2576","Mushfiqur Rahim ",56029
"8655","1*","1","1","100.00","0","0","v India","Dhaka","10 May 2007","ODI # 2582","Mushfiqur Rahim ",56029
"8656","35","35","43","81.39","3","1","v India","Dhaka","12 May 2007","ODI # 2583","Mushfiqur Rahim ",56029
"8657","28","28","49","57.14","2","0","v Sri Lanka","Colombo (PSS)","20 Jul 2007","ODI # 2605","Mushfiqur Rahim ",56029
"8658","0","0","4","0.00","0","0","v Sri Lanka","Colombo (RPS)","23 Jul 2007","ODI # 2606","Mushfiqur Rahim ",56029
"8659","0","0","5","0.00","0","0","v Sri Lanka","Colombo (RPS)","25 Jul 2007","ODI # 2607","Mushfiqur Rahim ",56029
"8660","0","0","3","0.00","0","0","v New Zealand","Auckland","26 Dec 2007","ODI # 2658","Mushfiqur Rahim ",56029
"8661","4*","4","12","33.33","0","0","v New Zealand","Napier","28 Dec 2007","ODI # 2659","Mushfiqur Rahim ",56029
"8662","0","0","2","0.00","0","0","v New Zealand","Queenstown","31 Dec 2007","ODI # 2660","Mushfiqur Rahim ",56029
"8663","15","15","29","51.72","0","0","v Pakistan","Dhaka","8 Jun 2008","ODI # 2704","Mushfiqur Rahim ",56029
"8664","6","6","11","54.54","0","0","v India","Dhaka","12 Jun 2008","ODI # 2706","Mushfiqur Rahim ",56029
"8665","16","16","11","145.45","2","0","v U.A.E.","Lahore","24 Jun 2008","ODI # 2711","Mushfiqur Rahim ",56029
"8666","44","44","53","83.01","3","0","v Sri Lanka","Lahore","25 Jun 2008","ODI # 2715","Mushfiqur Rahim ",56029
"8667","22","22","35","62.85","2","0","v India","Karachi","28 Jun 2008","ODI # 2721","Mushfiqur Rahim ",56029
"8668","8","8","12","66.66","1","0","v Sri Lanka","Karachi","30 Jun 2008","ODI # 2726","Mushfiqur Rahim ",56029
"8669","15","15","37","40.54","1","0","v Pakistan","Karachi","4 Jul 2008","ODI # 2733","Mushfiqur Rahim ",56029
"8670","30","30","59","50.84","1","1","v New Zealand","Dhaka","9 Oct 2008","ODI # 2763","Mushfiqur Rahim ",56029
"8671","11","11","28","39.28","1","0","v New Zealand","Dhaka","11 Oct 2008","ODI # 2764","Mushfiqur Rahim ",56029
"8672","15","15","35","42.85","1","0","v New Zealand","Chattogram","14 Oct 2008","ODI # 2765","Mushfiqur Rahim ",56029
"8673","1","1","5","20.00","0","0","v South Africa","Potchefstroom","7 Nov 2008","ODI # 2771","Mushfiqur Rahim ",56029
"8674","2","2","11","18.18","0","0","v South Africa","Benoni","9 Nov 2008","ODI # 2772","Mushfiqur Rahim ",56029
"8675","0","0","5","0.00","0","0","v Zimbabwe","Dhaka","10 Jan 2009","ODI # 2790","Mushfiqur Rahim ",56029
"8676","1","1","8","12.50","0","0","v Sri Lanka","Dhaka","14 Jan 2009","ODI # 2793","Mushfiqur Rahim ",56029
"8677","4","4","8","50.00","1","0","v Sri Lanka","Dhaka","16 Jan 2009","ODI # 2794","Mushfiqur Rahim ",56029
"8678","22","22","38","57.89","3","0","v Zimbabwe","Dhaka","19 Jan 2009","ODI # 2797","Mushfiqur Rahim ",56029
"8679","13*","13","20","65.00","1","1","v Zimbabwe","Dhaka","21 Jan 2009","ODI # 2799","Mushfiqur Rahim ",56029
"8680","20*","20","31","64.51","3","0","v Zimbabwe","Dhaka","23 Jan 2009","ODI # 2801","Mushfiqur Rahim ",56029
"8681","11","11","18","61.11","0","0","v West Indies","Roseau","26 Jul 2009","ODI # 2862","Mushfiqur Rahim ",56029
"8682","31","31","30","103.33","4","0","v West Indies","Roseau","28 Jul 2009","ODI # 2863","Mushfiqur Rahim ",56029
"8683","31","31","42","73.80","4","0","v West Indies","Basseterre","31 Jul 2009","ODI # 2865","Mushfiqur Rahim ",56029
"8684","DNB","-","-","-","-","-","v Zimbabwe","Bulawayo","9 Aug 2009","ODI # 2869","Mushfiqur Rahim ",56029
"8685","23*","23","18","127.77","2","0","v Zimbabwe","Bulawayo","11 Aug 2009","ODI # 2871","Mushfiqur Rahim ",56029
"8686","33","33","39","84.61","2","1","v Zimbabwe","Bulawayo","14 Aug 2009","ODI # 2872","Mushfiqur Rahim ",56029
"8687","15","15","15","100.00","0","0","v Zimbabwe","Bulawayo","16 Aug 2009","ODI # 2873","Mushfiqur Rahim ",56029
"8688","98","98","121","80.99","11","0","v Zimbabwe","Bulawayo","18 Aug 2009","ODI # 2874","Mushfiqur Rahim ",56029
"8689","56","56","77","72.72","5","0","v Zimbabwe","Dhaka","27 Oct 2009","ODI # 2914","Mushfiqur Rahim ",56029
"8690","DNB","-","-","-","-","-","v Zimbabwe","Dhaka","29 Oct 2009","ODI # 2916","Mushfiqur Rahim ",56029
"8691","4","4","10","40.00","1","0","v Zimbabwe","Dhaka","31 Oct 2009","ODI # 2917","Mushfiqur Rahim ",56029
"8692","2*","2","5","40.00","0","0","v Zimbabwe","Chattogram","3 Nov 2009","ODI # 2920","Mushfiqur Rahim ",56029
"8693","23","23","20","115.00","2","1","v Zimbabwe","Chattogram","5 Nov 2009","ODI # 2922","Mushfiqur Rahim ",56029
"8694","35","35","52","67.30","3","0","v Sri Lanka","Dhaka","4 Jan 2010","ODI # 2937","Mushfiqur Rahim ",56029
"8695","6","6","13","46.15","0","0","v India","Dhaka","7 Jan 2010","ODI # 2939","Mushfiqur Rahim ",56029
"8696","32","32","22","145.45","2","2","v Sri Lanka","Dhaka","8 Jan 2010","ODI # 2940","Mushfiqur Rahim ",56029
"8697","7","7","18","38.88","1","0","v India","Dhaka","11 Jan 2010","ODI # 2942","Mushfiqur Rahim ",56029
"8698","8","8","24","33.33","0","0","v New Zealand","Napier","5 Feb 2010","ODI # 2949","Mushfiqur Rahim ",56029
"8699","86","86","107","80.37","8","3","v New Zealand","Dunedin","8 Feb 2010","ODI # 2951","Mushfiqur Rahim ",56029
"8700","4","4","14","28.57","0","0","v New Zealand","Christchurch","11 Feb 2010","ODI # 2953","Mushfiqur Rahim ",56029
"8701","22","22","34","64.70","1","0","v England","Dhaka","28 Feb 2010","ODI # 2964","Mushfiqur Rahim ",56029
"8702","76","76","88","86.36","5","0","v England","Dhaka","2 Mar 2010","ODI # 2965","Mushfiqur Rahim ",56029
"8703","40","40","43","93.02","2","0","v England","Chattogram","5 Mar 2010","ODI # 2968","Mushfiqur Rahim ",56029
"8704","30","30","55","54.54","1","0","v India","Dambulla","16 Jun 2010","ODI # 2993","Mushfiqur Rahim ",56029
"8705","6","6","12","50.00","0","0","v Sri Lanka","Dambulla","18 Jun 2010","ODI # 2995","Mushfiqur Rahim ",56029
"8706","1","1","4","25.00","0","0","v Pakistan","Dambulla","21 Jun 2010","ODI # 2998","Mushfiqur Rahim ",56029
"8707","22","22","18","122.22","0","2","v England","Nottingham","8 Jul 2010","ODI # 3018","Mushfiqur Rahim ",56029
"8708","9","9","18","50.00","0","0","v Ireland","Belfast","15 Jul 2010","ODI # 3027","Mushfiqur Rahim ",56029
"8709","13*","13","16","81.25","3","0","v Ireland","Belfast","16 Jul 2010","ODI # 3028","Mushfiqur Rahim ",56029
"8710","0","0","1","0.00","0","0","v Netherlands","Glasgow","20 Jul 2010","ODI # 3029","Mushfiqur Rahim ",56029
"8711","22","22","39","56.41","1","0","v New Zealand","Dhaka","5 Oct 2010","ODI # 3051","Mushfiqur Rahim ",56029
"8712","DNB","-","-","-","-","-","v New Zealand","Dhaka","11 Oct 2010","ODI # 3054","Mushfiqur Rahim ",56029
"8713","13","13","25","52.00","0","0","v New Zealand","Dhaka","14 Oct 2010","ODI # 3056","Mushfiqur Rahim ",56029
"8714","29","29","41","70.73","4","0","v New Zealand","Dhaka","17 Oct 2010","ODI # 3058","Mushfiqur Rahim ",56029
"8715","1","1","9","11.11","0","0","v Zimbabwe","Dhaka","1 Dec 2010","ODI # 3071","Mushfiqur Rahim ",56029
"8716","7*","7","9","77.77","1","0","v Zimbabwe","Dhaka","3 Dec 2010","ODI # 3073","Mushfiqur Rahim ",56029
"8717","63","63","73","86.30","5","1","v Zimbabwe","Dhaka","6 Dec 2010","ODI # 3075","Mushfiqur Rahim ",56029
"8718","6*","6","19","31.57","0","0","v Zimbabwe","Chattogram","12 Dec 2010","ODI # 3078","Mushfiqur Rahim ",56029
"8719","25","25","30","83.33","2","0","v India","Dhaka","19 Feb 2011","ODI # 3100","Mushfiqur Rahim ",56029
"8720","36","36","66","54.54","2","0","v Ireland","Dhaka","25 Feb 2011","ODI # 3108","Mushfiqur Rahim ",56029
"8721","0","0","4","0.00","0","0","v West Indies","Dhaka","4 Mar 2011","ODI # 3118","Mushfiqur Rahim ",56029
"8722","6","6","20","30.00","1","0","v England","Chattogram","11 Mar 2011","ODI # 3127","Mushfiqur Rahim ",56029
"8723","11*","11","12","91.66","1","1","v Netherlands","Chattogram","14 Mar 2011","ODI # 3131","Mushfiqur Rahim ",56029
"8724","3","3","21","14.28","0","0","v South Africa","Dhaka","19 Mar 2011","ODI # 3138","Mushfiqur Rahim ",56029
"8725","44*","44","58","75.86","1","1","v Australia","Dhaka","9 Apr 2011","ODI # 3149","Mushfiqur Rahim ",56029
"8726","81*","81","80","101.25","9","1","v Australia","Dhaka","11 Apr 2011","ODI # 3150","Mushfiqur Rahim ",56029
"8727","1","1","4","25.00","0","0","v Australia","Dhaka","13 Apr 2011","ODI # 3151","Mushfiqur Rahim ",56029
"8728","59","59","91","64.83","5","0","v Zimbabwe","Harare","12 Aug 2011","ODI # 3176","Mushfiqur Rahim ",56029
"8729","12","12","20","60.00","2","0","v Zimbabwe","Harare","14 Aug 2011","ODI # 3177","Mushfiqur Rahim ",56029
"8730","101","101","100","101.00","8","1","v Zimbabwe","Harare","16 Aug 2011","ODI # 3179","Mushfiqur Rahim ",56029
"8731","16","16","40","40.00","1","0","v Zimbabwe","Bulawayo","19 Aug 2011","ODI # 3181","Mushfiqur Rahim ",56029
"8732","20","20","31","64.51","1","0","v Zimbabwe","Bulawayo","21 Aug 2011","ODI # 3183","Mushfiqur Rahim ",56029
"8733","21","21","21","100.00","0","1","v West Indies","Dhaka","13 Oct 2011","ODI # 3198","Mushfiqur Rahim ",56029
"8734","69","69","109","63.30","2","1","v West Indies","Dhaka","15 Oct 2011","ODI # 3200","Mushfiqur Rahim ",56029
"8735","10*","10","39","25.64","1","0","v West Indies","Chattogram","18 Oct 2011","ODI # 3202","Mushfiqur Rahim ",56029
"8736","11","11","27","40.74","0","0","v Pakistan","Dhaka","1 Dec 2011","ODI # 3218","Mushfiqur Rahim ",56029
"8737","1","1","10","10.00","0","0","v Pakistan","Dhaka","3 Dec 2011","ODI # 3220","Mushfiqur Rahim ",56029
"8738","0","0","3","0.00","0","0","v Pakistan","Chattogram","6 Dec 2011","ODI # 3222","Mushfiqur Rahim ",56029
"8739","3","3","5","60.00","0","0","v Pakistan","Dhaka","11 Mar 2012","ODI # 3258","Mushfiqur Rahim ",56029
"8740","46*","46","25","184.00","3","3","v India","Dhaka","16 Mar 2012","ODI # 3261","Mushfiqur Rahim ",56029
"8741","1","1","4","25.00","0","0","v Sri Lanka","Dhaka","20 Mar 2012","ODI # 3265","Mushfiqur Rahim ",56029
"8742","10","10","8","125.00","1","0","v Pakistan","Dhaka","22 Mar 2012","ODI # 3267","Mushfiqur Rahim ",56029
"8743","16*","16","22","72.72","3","0","v West Indies","Khulna","30 Nov 2012","ODI # 3309","Mushfiqur Rahim ",56029
"8744","79","79","87","90.80","8","1","v West Indies","Khulna","2 Dec 2012","ODI # 3310","Mushfiqur Rahim ",56029
"8745","38","38","58","65.51","2","0","v West Indies","Dhaka","5 Dec 2012","ODI # 3311","Mushfiqur Rahim ",56029
"8746","27","27","58","46.55","2","0","v West Indies","Dhaka","7 Dec 2012","ODI # 3312","Mushfiqur Rahim ",56029
"8747","44","44","56","78.57","7","0","v West Indies","Dhaka","8 Dec 2012","ODI # 3313","Mushfiqur Rahim ",56029
"8748","3","3","12","25.00","0","0","v Sri Lanka","Hambantota","23 Mar 2013","ODI # 3349","Mushfiqur Rahim ",56029
"8749","TDNB","-","-","-","-","-","v Sri Lanka","Hambantota","25 Mar 2013","ODI # 3351","Mushfiqur Rahim ",56029
"8750","9","9","8","112.50","1","0","v Sri Lanka","Pallekele","28 Mar 2013","ODI # 3352","Mushfiqur Rahim ",56029
"8751","5","5","13","38.46","0","0","v Zimbabwe","Bulawayo","3 May 2013","ODI # 3353","Mushfiqur Rahim ",56029
"8752","26","26","35","74.28","3","0","v Zimbabwe","Bulawayo","5 May 2013","ODI # 3354","Mushfiqur Rahim ",56029
"8753","32","32","41","78.04","2","1","v Zimbabwe","Bulawayo","8 May 2013","ODI # 3355","Mushfiqur Rahim ",56029
"8754","90","90","98","91.83","8","2","v New Zealand","Dhaka","29 Oct 2013","ODI # 3423","Mushfiqur Rahim ",56029
"8755","31","31","28","110.71","1","2","v New Zealand","Dhaka","31 Oct 2013","ODI # 3426","Mushfiqur Rahim ",56029
"8756","2","2","4","50.00","0","0","v New Zealand","Fatullah","3 Nov 2013","ODI # 3429","Mushfiqur Rahim ",56029
"8757","27","27","50","54.00","0","1","v Sri Lanka","Dhaka","17 Feb 2014","ODI # 3469","Mushfiqur Rahim ",56029
"8758","79","79","83","95.18","5","2","v Sri Lanka","Dhaka","20 Feb 2014","ODI # 3470","Mushfiqur Rahim ",56029
"8759","30","30","37","81.08","3","0","v Sri Lanka","Dhaka","22 Feb 2014","ODI # 3471","Mushfiqur Rahim ",56029
"8760","117","117","113","103.53","7","2","v India","Fatullah","26 Feb 2014","ODI # 3474","Mushfiqur Rahim ",56029
"8761","23","23","42","54.76","1","0","v Afghanistan","Fatullah","1 Mar 2014","ODI # 3478","Mushfiqur Rahim ",56029
"8762","51*","51","33","154.54","8","0","v Pakistan","Dhaka","4 Mar 2014","ODI # 3482","Mushfiqur Rahim ",56029
"8763","4","4","6","66.66","0","0","v Sri Lanka","Dhaka","6 Mar 2014","ODI # 3485","Mushfiqur Rahim ",56029
"8764","59","59","63","93.65","3","3","v India","Dhaka","15 Jun 2014","ODI # 3497","Mushfiqur Rahim ",56029
"8765","11","11","24","45.83","2","0","v India","Dhaka","17 Jun 2014","ODI # 3498","Mushfiqur Rahim ",56029
"8766","TDNB","-","-","-","-","-","v India","Dhaka","19 Jun 2014","ODI # 3499","Mushfiqur Rahim ",56029
"8767","12","12","21","57.14","0","0","v West Indies","St George's","20 Aug 2014","ODI # 3509","Mushfiqur Rahim ",56029
"8768","6","6","16","37.50","0","0","v West Indies","St George's","22 Aug 2014","ODI # 3511","Mushfiqur Rahim ",56029
"8769","72","72","113","63.71","8","0","v West Indies","Basseterre","25 Aug 2014","ODI # 3514","Mushfiqur Rahim ",56029
"8770","65","65","72","90.27","2","2","v Zimbabwe","Chattogram","21 Nov 2014","ODI # 3550","Mushfiqur Rahim ",56029
"8771","27","27","29","93.10","1","1","v Zimbabwe","Chattogram","23 Nov 2014","ODI # 3552","Mushfiqur Rahim ",56029
"8772","33","33","22","150.00","3","1","v Zimbabwe","Dhaka","26 Nov 2014","ODI # 3553","Mushfiqur Rahim ",56029
"8773","77","77","78","98.71","7","0","v Zimbabwe","Dhaka","28 Nov 2014","ODI # 3555","Mushfiqur Rahim ",56029
"8774","11","11","23","47.82","2","0","v Zimbabwe","Dhaka","1 Dec 2014","ODI # 3559","Mushfiqur Rahim ",56029
"8775","71","71","56","126.78","6","1","v Afghanistan","Canberra","18 Feb 2015","ODI # 3605","Mushfiqur Rahim ",56029
"8776","36","36","39","92.30","2","1","v Sri Lanka","Melbourne","26 Feb 2015","ODI # 3615","Mushfiqur Rahim ",56029
"8777","60","60","42","142.85","6","2","v Scotland","Nelson","5 Mar 2015","ODI # 3624","Mushfiqur Rahim ",56029
"8778","89","89","77","115.58","8","1","v England","Adelaide","9 Mar 2015","ODI # 3630","Mushfiqur Rahim ",56029
"8779","15","15","25","60.00","2","0","v New Zealand","Hamilton","13 Mar 2015","ODI # 3634","Mushfiqur Rahim ",56029
"8780","27","27","43","62.79","2","0","v India","Melbourne","19 Mar 2015","ODI # 3641","Mushfiqur Rahim ",56029
"8781","106","106","77","137.66","13","2","v Pakistan","Dhaka","17 Apr 2015","ODI # 3647","Mushfiqur Rahim ",56029
"8782","65","65","70","92.85","8","1","v Pakistan","Dhaka","19 Apr 2015","ODI # 3648","Mushfiqur Rahim ",56029
"8783","49*","49","43","113.95","6","0","v Pakistan","Dhaka","22 Apr 2015","ODI # 3649","Mushfiqur Rahim ",56029
"8784","14","14","19","73.68","1","0","v India","Dhaka","18 Jun 2015","ODI # 3658","Mushfiqur Rahim ",56029
"8785","31","31","34","91.17","3","1","v India","Dhaka","21 Jun 2015","ODI # 3660","Mushfiqur Rahim ",56029
"8786","24","24","30","80.00","0","1","v India","Dhaka","24 Jun 2015","ODI # 3661","Mushfiqur Rahim ",56029
"8787","24","24","38","63.15","1","0","v South Africa","Dhaka","10 Jul 2015","ODI # 3663","Mushfiqur Rahim ",56029
"8788","DNB","-","-","-","-","-","v South Africa","Dhaka","12 Jul 2015","ODI # 3666","Mushfiqur Rahim ",56029
"8789","DNB","-","-","-","-","-","v South Africa","Chattogram","15 Jul 2015","ODI # 3668","Mushfiqur Rahim ",56029
"8790","107","107","109","98.16","9","1","v Zimbabwe","Dhaka","7 Nov 2015","ODI # 3703","Mushfiqur Rahim ",56029
"8791","21","21","28","75.00","3","0","v Zimbabwe","Dhaka","9 Nov 2015","ODI # 3705","Mushfiqur Rahim ",56029
"8792","28","28","25","112.00","3","0","v Zimbabwe","Dhaka","11 Nov 2015","ODI # 3706","Mushfiqur Rahim ",56029
"8793","6","6","7","85.71","0","0","v Afghanistan","Dhaka","25 Sep 2016","ODI # 3781","Mushfiqur Rahim ",56029
"8794","38","38","51","74.50","4","0","v Afghanistan","Dhaka","28 Sep 2016","ODI # 3783","Mushfiqur Rahim ",56029
"8795","12","12","13","92.30","1","0","v Afghanistan","Dhaka","1 Oct 2016","ODI # 3786","Mushfiqur Rahim ",56029
"8796","12","12","12","100.00","1","0","v England","Dhaka","7 Oct 2016","ODI # 3791","Mushfiqur Rahim ",56029
"8797","21","21","23","91.30","3","0","v England","Dhaka","9 Oct 2016","ODI # 3793","Mushfiqur Rahim ",56029
"8798","67*","67","62","108.06","4","1","v England","Chattogram","12 Oct 2016","ODI # 3794","Mushfiqur Rahim ",56029
"8799","42*","42","48","87.50","3","0","v New Zealand","Christchurch","26 Dec 2016","ODI # 3814","Mushfiqur Rahim ",56029
"8800","1","1","2","50.00","0","0","v Sri Lanka","Dambulla","25 Mar 2017","ODI # 3855","Mushfiqur Rahim ",56029
"8801","TDNB","-","-","-","-","-","v Sri Lanka","Dambulla","28 Mar 2017","ODI # 3856","Mushfiqur Rahim ",56029
"8802","0","0","1","0.00","0","0","v Sri Lanka","Colombo (SSC)","1 Apr 2017","ODI # 3858","Mushfiqur Rahim ",56029
"8803","13","13","17","76.47","3","0","v Ireland","Dublin (Malahide)","12 May 2017","ODI # 3866","Mushfiqur Rahim ",56029
"8804","55","55","66","83.33","4","1","v New Zealand","Dublin","17 May 2017","ODI # 3868","Mushfiqur Rahim ",56029
"8805","3*","3","7","42.85","0","0","v Ireland","Dublin (Malahide)","19 May 2017","ODI # 3869","Mushfiqur Rahim ",56029
"8806","45*","45","45","100.00","3","1","v New Zealand","Dublin","24 May 2017","ODI # 3871","Mushfiqur Rahim ",56029
"8807","79","79","72","109.72","8","0","v England","The Oval","1 Jun 2017","ODI # 3875","Mushfiqur Rahim ",56029
"8808","9","9","20","45.00","0","0","v Australia","The Oval","5 Jun 2017","ODI # 3879","Mushfiqur Rahim ",56029
"8809","14","14","34","41.17","2","0","v New Zealand","Cardiff","9 Jun 2017","ODI # 3883","Mushfiqur Rahim ",56029
"8810","61","61","85","71.76","4","0","v India","Birmingham","15 Jun 2017","ODI # 3891","Mushfiqur Rahim ",56029
"8811","110*","110","116","94.82","11","2","v South Africa","Kimberley","15 Oct 2017","ODI # 3923","Mushfiqur Rahim ",56029
"8812","60","60","70","85.71","4","1","v South Africa","Paarl","18 Oct 2017","ODI # 3925","Mushfiqur Rahim ",56029
"8813","8","8","21","38.09","1","0","v South Africa","East London","22 Oct 2017","ODI # 3929","Mushfiqur Rahim ",56029
"8814","14*","14","23","60.86","1","1","v Zimbabwe","Dhaka","15 Jan 2018","ODI # 3952","Mushfiqur Rahim ",56029
"8815","62","62","52","119.23","4","1","v Sri Lanka","Dhaka","19 Jan 2018","ODI # 3959","Mushfiqur Rahim ",56029
"8816","18","18","25","72.00","0","1","v Zimbabwe","Dhaka","23 Jan 2018","ODI # 3964","Mushfiqur Rahim ",56029
"8817","26","26","56","46.42","1","0","v Sri Lanka","Dhaka","25 Jan 2018","ODI # 3965","Mushfiqur Rahim ",56029
"8818","22","22","40","55.00","1","0","v Sri Lanka","Dhaka","27 Jan 2018","ODI # 3967","Mushfiqur Rahim ",56029
"8819","30","30","11","272.72","3","2","v West Indies","Providence","22 Jul 2018","ODI # 4022","Mushfiqur Rahim ",56029
"8820","68","68","67","101.49","5","1","v West Indies","Providence","25 Jul 2018","ODI # 4023","Mushfiqur Rahim ",56029
"8821","12","12","14","85.71","0","1","v West Indies","Basseterre","28 Jul 2018","ODI # 4024","Mushfiqur Rahim ",56029
"8822","144","144","150","96.00","11","4","v Sri Lanka","Dubai (DSC)","15 Sep 2018","ODI # 4036","Mushfiqur Rahim ",56029
"8823","21","21","45","46.66","1","0","v India","Dubai (DSC)","21 Sep 2018","ODI # 4042","Mushfiqur Rahim ",56029
"8824","33","33","52","63.46","2","1","v Afghanistan","Abu Dhabi","23 Sep 2018","ODI # 4045","Mushfiqur Rahim ",56029
"8825","99","99","116","85.34","9","0","v Pakistan","Abu Dhabi","26 Sep 2018","ODI # 4047","Mushfiqur Rahim ",56029
"8826","5","5","9","55.55","1","0","v India","Dubai (DSC)","28 Sep 2018","ODI # 4048","Mushfiqur Rahim ",56029
"8827","15","15","20","75.00","1","0","v Zimbabwe","Dhaka","21 Oct 2018","ODI # 4057","Mushfiqur Rahim ",56029
"8828","40*","40","52","76.92","2","1","v Zimbabwe","Chattogram","24 Oct 2018","ODI # 4060","Mushfiqur Rahim ",56029
"8829","28*","28","39","71.79","1","1","v Zimbabwe","Chattogram","26 Oct 2018","ODI # 4061","Mushfiqur Rahim ",56029
"8830","55*","55","70","78.57","5","0","v West Indies","Dhaka","9 Dec 2018","ODI # 4071","Mushfiqur Rahim ",56029
"8831","62","62","80","77.50","5","0","v West Indies","Dhaka","11 Dec 2018","ODI # 4072","Mushfiqur Rahim ",56029
"8832","16*","16","14","114.28","2","1","v West Indies","Sylhet","14 Dec 2018","ODI # 4073","Mushfiqur Rahim ",56029
"8833","5","5","14","35.71","1","0","v New Zealand","Napier","13 Feb 2019","ODI # 4093","Mushfiqur Rahim ",56029
"8834","24","24","36","66.66","2","0","v New Zealand","Christchurch","16 Feb 2019","ODI # 4094","Mushfiqur Rahim ",56029
"8835","17","17","27","62.96","3","0","v New Zealand","Dunedin","20 Feb 2019","ODI # 4095","Mushfiqur Rahim ",56029
"8836","32*","32","25","128.00","2","2","v West Indies","Dublin","7 May 2019","ODI # 4129","Mushfiqur Rahim ",56029
"8837","63","63","73","86.30","5","1","v West Indies","Dublin (Malahide)","13 May 2019","ODI # 4134","Mushfiqur Rahim ",56029
"8838","35","35","33","106.06","5","0","v Ireland","Dublin","15 May 2019","ODI # 4136","Mushfiqur Rahim ",56029
"8839","36","36","22","163.63","2","2","v West Indies","Dublin (Malahide)","17 May 2019","ODI # 4137","Mushfiqur Rahim ",56029
"8840","8","8","13","61.53","0","0","v India","Dhaka","18 Jun 2015","ODI # 3658","Liton Das",536936
"8841","36","36","41","87.80","5","0","v India","Dhaka","21 Jun 2015","ODI # 3660","Liton Das",536936
"8842","34","34","50","68.00","3","0","v India","Dhaka","24 Jun 2015","ODI # 3661","Liton Das",536936
"8843","0","0","1","0.00","0","0","v South Africa","Dhaka","10 Jul 2015","ODI # 3663","Liton Das",536936
"8844","17","17","14","121.42","2","1","v South Africa","Dhaka","12 Jul 2015","ODI # 3666","Liton Das",536936
"8845","5*","5","5","100.00","1","0","v South Africa","Chattogram","15 Jul 2015","ODI # 3668","Liton Das",536936
"8846","0","0","6","0.00","0","0","v Zimbabwe","Dhaka","7 Nov 2015","ODI # 3703","Liton Das",536936
"8847","7","7","16","43.75","0","1","v Zimbabwe","Dhaka","9 Nov 2015","ODI # 3705","Liton Das",536936
"8848","17","17","22","77.27","1","0","v Zimbabwe","Dhaka","11 Nov 2015","ODI # 3706","Liton Das",536936
"8849","21","21","29","72.41","4","0","v South Africa","Kimberley","15 Oct 2017","ODI # 3923","Liton Das",536936
"8850","14","14","12","116.66","1","1","v South Africa","Paarl","18 Oct 2017","ODI # 3925","Liton Das",536936
